kepid,kepler_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss
7295235,Kepler-743 b,CONFIRMED,0,0
2302548,Kepler-261 b,CONFIRMED,0,0
2302548,Kepler-261 c,CONFIRMED,0,0
9818381,Kepler-43 b,CONFIRMED,0,0
6060203,Kepler-757 b,CONFIRMED,0,0
5880320,Kepler-758 b,CONFIRMED,0,0
5880320,Kepler-758 c,CONFIRMED,0,0
5880320,Kepler-758 d,CONFIRMED,0,0
3859079,Kepler-786 b,CONFIRMED,0,0
4061149,Kepler-1741 b,CONFIRMED,0,0
3444588,Kepler-787 b,CONFIRMED,0,0
8394721,Kepler-79 b,CONFIRMED,0,0
3962243,Kepler-276 c,CONFIRMED,0,0
10154388,Kepler-744 b,CONFIRMED,0,0
1432789,Kepler-745 b,CONFIRMED,0,0
1718189,Kepler-262 c,CONFIRMED,0,0
5880320,Kepler-758 e,CONFIRMED,0,0
6037187,Kepler-759 b,CONFIRMED,0,0
5735762,Kepler-48 b,CONFIRMED,0,0
6359320,Kepler-269 b,CONFIRMED,0,0
3859628,Kepler-1740 b,CONFIRMED,0,0
1718189,Kepler-262 b,CONFIRMED,0,0
8222813,Kepler-760 b,CONFIRMED,0,0
6359320,Kepler-269 c,CONFIRMED,0,0
6362874,Kepler-775 b,CONFIRMED,0,0
6272413,Kepler-776 b,CONFIRMED,0,0
3447722,Kepler-275 c,CONFIRMED,0,0
3447722,Kepler-275 b,CONFIRMED,0,0
3447722,Kepler-275 d,CONFIRMED,0,0
2165002,Kepler-263 b,CONFIRMED,0,0
2165002,Kepler-263 c,CONFIRMED,0,0
1871056,Kepler-264 b,CONFIRMED,0,0
8222813,Kepler-760 c,CONFIRMED,0,0
8240904,Kepler-266 b,CONFIRMED,0,0
8240904,Kepler-266 c,CONFIRMED,0,0
5735762,Kepler-48 c,CONFIRMED,0,0
3962243,Kepler-276 b,CONFIRMED,0,0
3962243,Kepler-276 d,CONFIRMED,0,0
3438507,Kepler-788 b,CONFIRMED,0,0
3869014,Kepler-789 b,CONFIRMED,0,0
1871056,Kepler-264 c,CONFIRMED,0,0
1865042,Kepler-746 b,CONFIRMED,0,0
5780460,Kepler-747 b,CONFIRMED,0,0
8229696,Kepler-761 b,CONFIRMED,0,0
10272640,Kepler-762 b,CONFIRMED,0,0
8346392,Kepler-777 b,CONFIRMED,0,0
8288947,Kepler-778 b,CONFIRMED,0,0
9480189,Kepler-257 c,CONFIRMED,0,0
11974540,Kepler-470 b,CONFIRMED,0,1
9480189,Kepler-257 b,CONFIRMED,0,0
9480189,Kepler-257 d,CONFIRMED,0,0
9512687,Kepler-735 b,CONFIRMED,0,0
8644288,Kepler-18 c,CONFIRMED,0,0
1725016,Kepler-748 b,CONFIRMED,0,0
5446285,Kepler-88 b,CONFIRMED,0,0
10166274,Kepler-267 b,CONFIRMED,0,0
10166274,Kepler-267 c,CONFIRMED,0,0
10166274,Kepler-267 d,CONFIRMED,0,0
5735762,Kepler-48 d,CONFIRMED,0,0
8351704,Kepler-779 b,CONFIRMED,0,0
9513865,Kepler-736 b,CONFIRMED,0,0
9605514,Kepler-1666 b,CONFIRMED,0,0
9605514,Kepler-1666 c,CONFIRMED,0,0
8125580,Kepler-749 b,CONFIRMED,0,0
8158127,Kepler-750 b,CONFIRMED,0,0
10141900,Kepler-763 b,CONFIRMED,0,0
8410727,Kepler-270 b,CONFIRMED,0,0
8410727,Kepler-270 c,CONFIRMED,0,0
8278371,Kepler-780 b,CONFIRMED,0,0
8280511,Kepler-271 b,CONFIRMED,0,0
8280511,Kepler-271 c,CONFIRMED,0,0
9710326,Kepler-737 b,CONFIRMED,0,0
9761882,Kepler-738 b,CONFIRMED,0,0
9766437,Kepler-739 b,CONFIRMED,0,0
9775938,Kepler-258 b,CONFIRMED,0,0
8644288,Kepler-18 d,CONFIRMED,0,0
8158127,Kepler-750 c,CONFIRMED,0,0
8174625,Kepler-751 b,CONFIRMED,0,0
10157458,Kepler-764 b,CONFIRMED,0,0
