kepid,kepler_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_model_snr,koi_num_transits
7678434,Kepler-716 b,CONFIRMED,0,0,64.50,128
7678434,Kepler-716 c,CONFIRMED,0,0,15.00,320
7685981,Kepler-717 b,CONFIRMED,0,0,45.10,279
7373451,Kepler-712 c,CONFIRMED,0,0,46.80,7
7434875,Kepler-247 c,CONFIRMED,0,0,175.20,144
8349582,Kepler-95 b,CONFIRMED,0,0,142.00,116
7434875,Kepler-247 d,CONFIRMED,0,0,52.70,59
7434875,Kepler-247 b,CONFIRMED,0,0,41.60,386
7455287,Kepler-54 b,CONFIRMED,0,0,48.50,168
7455287,Kepler-54 c,CONFIRMED,0,0,31.00,112
7455287,Kepler-54 d,CONFIRMED,0,0,18.20,55
7458762,Kepler-713 b,CONFIRMED,0,0,50.40,181
757450,Kepler-75 b,CONFIRMED,0,0,388.20,153
7585481,Kepler-714 b,CONFIRMED,0,0,435.90,168
7663691,Kepler-715 b,CONFIRMED,0,0,71.90,135
5812701,Kepler-448 b,CONFIRMED,0,0,915.70,75
8039892,Kepler-719 b,CONFIRMED,0,0,431.40,271
8150320,Kepler-55 d,CONFIRMED,0,0,42.60,603
8150320,Kepler-55 b,CONFIRMED,0,0,25.40,48
11086270,Kepler-110 b,CONFIRMED,0,0,60.20,108
7825899,Kepler-248 c,CONFIRMED,0,0,123.80,83
7825899,Kepler-248 b,CONFIRMED,0,0,86.20,205
7849854,Kepler-718 b,CONFIRMED,0,0,1072.10,650
7870390,Kepler-83 b,CONFIRMED,0,0,58.00,135
7870390,Kepler-83 d,CONFIRMED,0,0,41.40,256
5094751,Kepler-109 c,CONFIRMED,0,0,114.90,64
7870390,Kepler-83 c,CONFIRMED,0,0,36.90,63
7907423,Kepler-249 c,CONFIRMED,0,0,44.40,186
7907423,Kepler-249 b,CONFIRMED,0,0,37.80,398
7907423,Kepler-249 d,CONFIRMED,0,0,30.90,82
7938496,Kepler-1730 b,CONFIRMED,0,0,46.20,90
8490993,Kepler-722 b,CONFIRMED,0,0,36.40,328
8490993,Kepler-722 c,CONFIRMED,0,0,15.40,13
8505670,Kepler-252 c,CONFIRMED,0,0,64.50,122
8505670,Kepler-252 b,CONFIRMED,0,0,14.20,192
8544996,Kepler-723 b,CONFIRMED,0,0,1669.10,329
8150320,Kepler-55 c,CONFIRMED,0,0,21.60,28
8150320,Kepler-55 e,CONFIRMED,0,0,28.10,272
8150320,Kepler-55 f,CONFIRMED,0,0,21.40,119
8226994,Kepler-250 c,CONFIRMED,0,0,47.70,186
8226994,Kepler-250 d,CONFIRMED,0,0,23.80,73
8226994,Kepler-250 b,CONFIRMED,0,0,12.90,314
8247638,Kepler-251 c,CONFIRMED,0,0,55.90,76
8247638,Kepler-251 d,CONFIRMED,0,0,44.80,37
8247638,Kepler-251 b,CONFIRMED,0,0,21.20,242
11086270,Kepler-110 c,CONFIRMED,0,0,63.10,44
8247638,Kepler-251 e,CONFIRMED,0,0,22.70,12
8255887,Kepler-720 b,CONFIRMED,0,0,633.40,285
8414716,Kepler-721 b,CONFIRMED,0,0,77.40,244
9141746,Kepler-730 b,CONFIRMED,0,0,502.30,189
9166862,Kepler-731 b,CONFIRMED,0,0,1173.90,350
11449844,Kepler-468 b,CONFIRMED,0,1,1077.80,35
8628973,Kepler-724 b,CONFIRMED,0,0,123.50,404
8672910,Kepler-725 b,CONFIRMED,0,0,690.30,30
8689031,Kepler-726 b,CONFIRMED,0,0,49.90,61
8689373,Kepler-253 c,CONFIRMED,0,0,55.00,126
8689373,Kepler-253 d,CONFIRMED,0,0,60.70,70
8689373,Kepler-253 b,CONFIRMED,0,0,25.60,330
8826878,Kepler-727 b,CONFIRMED,0,0,48.10,259
8883593,Kepler-728 b,CONFIRMED,0,0,79.70,237
9077124,Kepler-729 b,CONFIRMED,0,0,128.30,409
9466668,Kepler-256 c,CONFIRMED,0,0,30.60,397
9466668,Kepler-256 d,CONFIRMED,0,0,25.20,218
9466668,Kepler-256 b,CONFIRMED,0,0,22.70,719
9466668,Kepler-256 e,CONFIRMED,0,0,21.90,100
9479273,Kepler-734 b,CONFIRMED,0,0,293.70,176
8359498,Kepler-77 b,CONFIRMED,0,0,1838.40,374
9334289,Kepler-254 b,CONFIRMED,0,0,81.10,228
9334289,Kepler-254 c,CONFIRMED,0,0,25.60,106
9334289,Kepler-254 d,CONFIRMED,0,0,26.70,67
9347899,Kepler-31 b,CONFIRMED,0,0,117.00,67
9347899,Kepler-31 c,CONFIRMED,0,0,78.70,32
